cond_a,cond_b,mean_a,mean_b,delta_a_minus_b,p_wilcoxon,p_holm,claim
baseline_all_features,filter_top30,0.9175154089204364,0.9183010434164443,-0.0007856344960078809,0.0625,0.625,False
baseline_all_features,rfa_svm_original,0.9175154089204364,0.9170349891925215,0.0004804197279149047,0.4375,0.625,False
baseline_all_features,rfa_rf_proposal,0.9175154089204364,0.9091081395366121,0.0084072693838243,0.0625,0.625,False
baseline_all_features,rfa_plus_flow_pair,0.9175154089204364,0.9048360493176952,0.012679359602741136,0.0625,0.625,False
filter_top30,rfa_svm_original,0.9183010434164443,0.9170349891925215,0.0012660542239227857,0.0625,0.625,False
filter_top30,rfa_rf_proposal,0.9183010434164443,0.9091081395366121,0.009192903879832182,0.0625,0.625,False
filter_top30,rfa_plus_flow_pair,0.9183010434164443,0.9048360493176952,0.013464994098749017,0.0625,0.625,False
rfa_svm_original,rfa_rf_proposal,0.9170349891925215,0.9091081395366121,0.007926849655909396,0.0625,0.625,False
rfa_svm_original,rfa_plus_flow_pair,0.9170349891925215,0.9048360493176952,0.012198939874826231,0.0625,0.625,False
rfa_rf_proposal,rfa_plus_flow_pair,0.9091081395366121,0.9048360493176952,0.004272090218916835,0.0625,0.625,False
