cond_a,cond_b,mean_a,mean_b,delta_a_minus_b,p_wilcoxon,p_holm,claim
baseline_all_features,filter_top30,0.529511309316807,0.5737808250417602,-0.04426951572495319,0.0625,0.625,False
baseline_all_features,rfa_svm_original,0.529511309316807,0.5288441453944293,0.0006671639223777559,0.8125,0.8125,False
baseline_all_features,rfa_rf_proposal,0.529511309316807,0.6309742300008772,-0.10146292068407015,0.0625,0.625,False
baseline_all_features,rfa_plus_flow_pair,0.529511309316807,0.5042190372326685,0.025292272084138534,0.0625,0.625,False
filter_top30,rfa_svm_original,0.5737808250417602,0.5288441453944293,0.044936679647330946,0.0625,0.625,False
filter_top30,rfa_rf_proposal,0.5737808250417602,0.6309742300008772,-0.057193404959116956,0.0625,0.625,False
filter_top30,rfa_plus_flow_pair,0.5737808250417602,0.5042190372326685,0.06956178780909172,0.0625,0.625,False
rfa_svm_original,rfa_rf_proposal,0.5288441453944293,0.6309742300008772,-0.1021300846064479,0.0625,0.625,False
rfa_svm_original,rfa_plus_flow_pair,0.5288441453944293,0.5042190372326685,0.024625108161760778,0.0625,0.625,False
rfa_rf_proposal,rfa_plus_flow_pair,0.6309742300008772,0.5042190372326685,0.12675519276820868,0.0625,0.625,False
