condition,seed,val_macro_f1,val_balanced_accuracy,val_auroc,val_pr_auc,test_macro_f1,test_balanced_accuracy,test_auroc,test_pr_auc
baseline_all_features,42,0.9186669612487,0.91849726414677,0.9810328269000711,0.979394504129014,0.9181884814324646,0.9179014890728312,0.981206711143099,0.9797773499258283
baseline_all_features,43,0.9191094424492199,0.9188942920894112,0.9808578654908667,0.9790874539431148,0.9180415507471542,0.9178338665756973,0.9811975801539132,0.979746207869641
baseline_all_features,44,0.919846215945098,0.9196161892247978,0.9810375454899665,0.9793976579823799,0.9176063870508928,0.9172911903146059,0.9811296345550611,0.9797841682558667
baseline_all_features,45,0.9193199564867334,0.9191282224098529,0.9809833153623044,0.9792975670774426,0.9168866916107632,0.9166616198851392,0.9811115711496202,0.9796448149189356
baseline_all_features,46,0.9186224070839748,0.9184364340513587,0.9809718520832864,0.9793328051446412,0.9168539337609076,0.9166666919089884,0.981142208596933,0.9796832892368511
filter_top30,42,0.9200605212996207,0.9198720633441817,0.9815034035909158,0.9800168057271466,0.9183154292677448,0.9180445120678391,0.9816210823655813,0.9803211870480095
filter_top30,43,0.9216696914793425,0.9215115141805541,0.9814364851009818,0.97983198978529,0.9188103324936951,0.918546275573846,0.9817239700690146,0.9803965688706904
filter_top30,44,0.9215823342512088,0.9213986315093082,0.9813794850735453,0.9797235197552495,0.917695956759109,0.9174129121557039,0.9813864499364959,0.9800684227273699
filter_top30,45,0.9214223752646598,0.9212606413625856,0.9814298245521924,0.9797683501713964,0.9181613252207657,0.9179373298040663,0.981654971023935,0.980331549742593
filter_top30,46,0.9211268741976113,0.9209269946502634,0.9814805409795329,0.9796527820798385,0.9185221733409061,0.9182565105484264,0.9816888731448602,0.980227296031591
rfa_svm_original,42,0.9201065191462121,0.9199416709591699,0.9809348976488714,0.9792364217551452,0.9167677701007827,0.9165625521863967,0.981077736341553,0.9796720822224064
rfa_svm_original,43,0.9182098580753344,0.9180168497681482,0.9810972380080708,0.9795650215329812,0.9172171200208311,0.916999059242228,0.9810815664431725,0.9796740401156473
rfa_svm_original,44,0.9189035393548213,0.9186866943277003,0.9810097522550484,0.9794708784015809,0.9167206671825563,0.9164885046769681,0.981328200754837,0.9800581781121707
rfa_svm_original,45,0.9188290576777647,0.918648420572858,0.9810421058960349,0.9793317576843196,0.9179937420941098,0.9177554235366422,0.9811161719834636,0.9797359681323772
rfa_svm_original,46,0.9191063348615143,0.9188767370502575,0.9808835316581572,0.9792632526309368,0.9164756465643278,0.9162508095128443,0.9811261376520886,0.9797784768706843
rfa_rf_proposal,42,0.9103344718751163,0.9103976867951076,0.9762986744087621,0.9732847767092229,0.9088024969936176,0.9088132839394274,0.975999940414658,0.9729870280173245
rfa_rf_proposal,43,0.9113510033336445,0.9113654554470473,0.9762945481668137,0.9730656045692946,0.9097397778978606,0.9097163902642533,0.9761899073968263,0.973130172011819
rfa_rf_proposal,44,0.9106336788337942,0.910753277306372,0.9765603845016684,0.9734901111302591,0.9090146199058453,0.9090560511274005,0.9759900656183914,0.9727379128510864
rfa_rf_proposal,45,0.9091797112459046,0.9092210952982032,0.9762695517565768,0.9730082763090796,0.9088119838315127,0.9088660302949461,0.9761991696460851,0.9731369974672108
rfa_rf_proposal,46,0.9100427067917909,0.9100859838817277,0.976599890070991,0.9733900459420902,0.9091718190542242,0.9091808155096794,0.9760848656819374,0.9728842324773392
rfa_plus_flow_pair,42,0.905110181719917,0.9055349611431863,0.9762511721421561,0.9737515572853432,0.9041967654125056,0.9045695986579216,0.9765120936602952,0.9742749482953023
rfa_plus_flow_pair,43,0.9048078627293719,0.9051530380731911,0.9763293048557211,0.9739551173795766,0.9047707154628846,0.9051403376495079,0.9762803960718182,0.9740151995930636
rfa_plus_flow_pair,44,0.9056737517817709,0.906039870455658,0.9768103082166764,0.9745112617827394,0.9052061026136861,0.9054933296424347,0.9768546319663767,0.9746381110031916
rfa_plus_flow_pair,45,0.9047356237090955,0.9051323193575028,0.9763362716753239,0.9739444115033051,0.9049285102760802,0.9052651020317868,0.9766438484828762,0.9744286313114784
rfa_plus_flow_pair,46,0.9041046129929211,0.9044217508766009,0.9761291686587732,0.9738196313673544,0.9050781528233198,0.9053415155881737,0.9766547329720128,0.974429376235338
