feature,et_importance,et_rank,mi_score,mi_rank,consensus_rank
sbytes,0.05004424991471033,3.0,0.7540330432681801,1.0,2.0
smean,0.062354366688141344,1.0,0.5533216992017282,3.0,2.0
sttl,0.05670018543011628,2.0,0.4205598038232552,6.0,4.0
sload,0.03693582867727043,7.0,0.4263055800587554,5.0,6.0
dmean,0.029069220981399444,12.0,0.4466617717424779,4.0,8.0
dttl,0.029133865026704724,11.0,0.3818992004670627,8.0,9.5
dbytes,0.019214376506168914,20.0,0.5573320559072992,2.0,11.0
rate,0.030580741670785058,10.0,0.3489341962957142,12.0,11.0
ct_srv_dst,0.037577232267434126,6.0,0.25894410121443734,18.0,12.0
dload,0.025354389415374524,14.0,0.35835002380331593,10.0,12.0
dur,0.025020117223058625,16.0,0.32087434041317975,14.0,15.0
ct_srv_src,0.033262951846899355,9.0,0.21702527356917578,23.0,16.0
dpkts,0.016926468182593378,24.0,0.36089846779874524,9.0,16.5
service_-,0.04327126383462012,4.0,0.1089968889839028,31.0,17.5
synack,0.017391990537362234,23.0,0.32408475173776896,13.0,18.0
sinpkt,0.024268945007604913,17.0,0.25643955610898894,19.0,18.0
dinpkt,0.016286406870752376,26.0,0.35107392791638414,11.0,18.5
tcprtt,0.017590311193883518,22.0,0.3180803087798769,15.0,18.5
ct_dst_src_ltm,0.028966268422367603,13.0,0.17543814641764666,25.0,19.0
ct_state_ttl,0.0152418424823137,32.0,0.39742574277252185,7.0,19.5
proto_udp,0.03927425271476806,5.0,0.07556492758353306,34.0,19.5
service_dns,0.036225086293797996,8.0,0.0966011143570511,32.0,20.0
sjit,0.019827376299553737,19.0,0.24251757493712622,22.0,20.5
ackdat,0.015580210754678801,28.0,0.3044762571693935,16.0,22.0
dloss,0.015264432122142886,31.0,0.2606388967744686,17.0,24.0
ct_src_ltm,0.021288234544680953,18.0,0.11432752424798664,30.0,24.0
djit,0.015355498117856841,30.0,0.25354988545406876,20.0,25.0
ct_src_dport_ltm,0.018402922010365166,21.0,0.11485152643540486,29.0,25.0
spkts,0.011407885552743618,34.0,0.24541403128867811,21.0,27.5
ct_dst_ltm,0.015498595708495105,29.0,0.15140060536143052,26.0,27.5
service_http,0.025348102577588228,15.0,0.05293639326554045,42.0,28.5
sloss,0.010471092341795787,35.0,0.2157314840576543,24.0,29.5
state_INT,0.012888191383770363,33.0,0.12865739844707447,28.0,30.5
stcpb,0.01672617783250769,25.0,0.06877397886269376,38.0,31.5
ct_dst_sport_ltm,0.00979639580401161,36.0,0.14591213320060392,27.0,31.5
dtcpb,0.01563280950540255,27.0,0.06342598746656947,40.0,33.5
proto_tcp,0.008383080494620504,38.0,0.07347760357880384,35.0,36.5
state_FIN,0.007727084123963081,39.0,0.07006009983336758,36.0,37.5
