feature,et_importance,et_rank,mi_score,mi_rank,consensus_rank
dttl,0.11902059430724085,1.0,0.3089457970733225,4.0,2.5
ct_state_ttl,0.0785228302580977,3.0,0.31680410087201705,3.0,3.0
sttl,0.11365180123677453,2.0,0.3082356465215461,5.0,3.5
sbytes,0.022258536781778485,14.0,0.39798656128641374,1.0,7.5
smean,0.02673868939157046,10.0,0.26899793696128005,6.0,8.0
rate,0.024097508104375352,11.0,0.24568664231316095,8.0,9.5
dmean,0.02231577703643894,13.0,0.26370701725171863,7.0,10.0
tcprtt,0.022423225876143787,12.0,0.23179374962815902,11.0,11.5
dload,0.03246314719475316,8.0,0.2075466968628843,16.0,12.0
ct_srv_dst,0.0381287994282046,5.0,0.09609418129197378,22.0,13.5
synack,0.018972652095783395,17.0,0.23219076467571753,10.0,13.5
sload,0.020627736047564578,15.0,0.21732843709213978,13.0,14.0
ackdat,0.019120325610411618,16.0,0.21697599513475874,14.0,15.0
state_CON,0.03894401110128984,4.0,0.057314673003692196,27.0,15.5
dur,0.015768429032129556,21.0,0.21962978596060978,12.0,16.5
ct_srv_src,0.030045520318007352,9.0,0.06657280942655941,25.0,17.0
dbytes,0.01018292406148559,32.0,0.3390156671504725,2.0,17.0
state_INT,0.03472730588081594,7.0,0.056768380100401306,28.0,17.5
sinpkt,0.016181660550490883,19.0,0.16936928321393863,17.0,18.0
ct_dst_src_ltm,0.03476711203837493,6.0,0.046223618008498724,30.0,18.0
dinpkt,0.011562811511752808,30.0,0.24316724531342437,9.0,19.5
ct_src_ltm,0.015776124593124788,20.0,0.057772571381380367,26.0,23.0
ct_dst_ltm,0.013936721862432307,23.0,0.07906377064635173,23.0,23.0
djit,0.011744664445223955,28.0,0.13668850807482147,19.0,23.5
sjit,0.01171881330922512,29.0,0.14377587006995518,18.0,23.5
dpkts,0.007877711687072252,35.0,0.2156437672071323,15.0,25.0
service_-,0.018514805374636824,18.0,0.0123906123360209,35.0,26.5
spkts,0.006438628550277348,38.0,0.11863840411170412,20.0,29.0
dloss,0.007042681079121119,37.0,0.11317869737410846,21.0,29.0
service_http,0.012058725176217804,26.0,0.019435344110628083,33.0,29.5
state_FIN,0.015373452622025309,22.0,0.00817864421040837,38.0,30.0
ct_src_dport_ltm,0.010090246381019907,33.0,0.0205984006925779,32.0,32.5
sloss,0.00568625455551447,41.0,0.07789369004447955,24.0,32.5
swin,0.013919527339115905,24.0,0.006849410103348719,42.0,33.0
ct_dst_sport_ltm,0.006096850488489364,40.0,0.045077754723462204,31.0,35.5
stcpb,0.01177001104464652,27.0,0.005853502329294935,46.0,36.5
dwin,0.0071542180991594215,36.0,0.008083409654805696,39.0,37.5
response_body_len,0.0022251318799990545,47.0,0.048481781779891486,29.0,38.0
