feature,rfa_rank
sbytes,1
dinpkt,2
proto_igmp,3
proto_arp,4
is_sm_ips_ports,5
state_RST,6
proto_aes-sp3-d,7
proto_aris,8
proto_br-sat-mon,9
proto_dcn,10
proto_eigrp,11
proto_emcon,12
proto_ggp,13
proto_gmtp,14
proto_ifmp,15
proto_igp,16
proto_il,17
proto_ipcomp,18
proto_ipip,19
proto_ippc,20
proto_ipv6,21
proto_ipv6-frag,22
proto_isis,23
proto_iso-ip,24
proto_nsfnet-igp,25
proto_leaf-1,26
proto_mhrp,27
proto_larp,28
proto_narp,29
proto_nvp,30
proto_pnni,31
proto_rvd,32
proto_sat-expak,33
proto_scps,34
proto_mfe-nsp,35
proto_snp,36
proto_srp,37
proto_tlsp,38
proto_tp++,39
proto_trunk-2,40
proto_ttp,41
proto_uti,42
proto_vines,43
proto_visa,44
proto_vrrp,45
proto_xnet,46
proto_infrequent_sklearn,47
service_irc,48
proto_ip,49
proto_i-nlsp,50
proto_xns-idp,51
proto_egp,52
proto_pim,53
proto_sun-nd,54
proto_ipv6-no,55
proto_cftp,56
proto_zero,57
proto_prm,58
proto_idpr,59
proto_st2,60
proto_ipcv,61
proto_etherip,62
proto_skip,63
proto_smp,64
proto_crtp,65
proto_sat-mon,66
proto_ipv6-opts,67
proto_mux,68
proto_cphb,69
proto_micp,70
proto_sprite-rpc,71
proto_a/n,72
proto_crudp,73
proto_tcf,74
proto_leaf-2,75
proto_ptp,76
proto_iatp,77
proto_iplt,78
proto_bbn-rcc,79
proto_3pc,80
service_infrequent_sklearn,81
proto_argus,82
proto_ipv6-route,83
service_dhcp,84
proto_sdrp,85
proto_dgp,86
proto_idrp,87
state_infrequent_sklearn,88
proto_mtp,89
proto_ddp,90
proto_qnx,91
proto_pvp,92
proto_ax.25,93
proto_sps,94
proto_ib,95
proto_swipe,96
proto_kryptolan,97
service_ftp,98
proto_ipnip,99
proto_pri-enc,100
proto_pgm,101
proto_wb-mon,102
proto_sm,103
proto_trunk-1,104
proto_sccopmce,105
proto_netblt,106
proto_secure-vmtp,107
proto_ddx,108
proto_mobile,109
proto_compaq-peer,110
proto_xtp,111
proto_hmp,112
proto_sep,113
proto_l2tp,114
proto_rdp,115
proto_cbt,116
proto_pipe,117
service_snmp,118
proto_wsn,119
proto_fc,120
proto_bna,121
proto_encap,122
proto_irtp,123
proto_chaos,124
proto_idpr-cmtp,125
proto_iso-tp4,126
proto_stp,127
proto_rsvp,128
proto_any,129
proto_gre,130
proto_ipx-n-ip,131
proto_cpnx,132
proto_vmtp,133
proto_merit-inp,134
proto_pup,135
state_REQ,136
proto_fire,137
proto_wb-expak,138
service_ssl,139
proto_sctp,140
is_ftp_login,141
ct_ftp_cmd,142
synack,143
proto_ospf,144
service_pop3,145
ackdat,146
service_smtp,147
service_ssh,148
tcprtt,149
service_ftp-data,150
service_dns,151
proto_unas,152
proto_udp,153
ct_flw_http_mthd,154
trans_depth,155
service_http,156
service_-,157
state_FIN,158
state_CON,159
proto_tcp,160
state_INT,161
ct_src_ltm,162
ct_dst_ltm,163
dur,164
ct_srv_src,165
ct_dst_src_ltm,166
ct_srv_dst,167
ct_state_ttl,168
ct_dst_sport_ltm,169
ct_src_dport_ltm,170
sloss,171
dloss,172
spkts,173
dpkts,174
sinpkt,175
smean,176
swin,177
dwin,178
dttl,179
djit,180
sttl,181
dmean,182
response_body_len,183
sjit,184
dbytes,185
dtcpb,186
rate,187
dload,188
sload,189
stcpb,190
