k,feature_added,val_macro_f1,improvement
1,sbytes,0.4000427846231792,inf
2,dbytes,0.5050463636906156,0.1050035790674364
3,ct_dst_src_ltm,0.5203001743609434,0.015253810670327828
4,sttl,0.5418313571645584,0.02153118280361499
5,state_infrequent_sklearn,0.5511596570407982,0.009328299876239732
6,service_-,0.539689481054275,-0.011470175986523112
7,smean,0.5644078730883298,0.024718392034054792
8,proto_unas,0.567236573603106,0.002828700514776128
9,sjit,0.570335910734381,0.0030993371312749707
10,service_http,0.5689571685667886,-0.0013787421675923728
11,proto_crtp,0.5761151101195269,0.007157941552738301
12,service_ftp,0.5749732723672671,-0.0011418377522597334
13,proto_pup,0.5657952488360971,-0.009178023531170032
14,proto_ipv6-no,0.5648081571533263,-0.0009870916827707799
